search_id,database,platform,date,researcher,exact_search_string,filters,date_range,language_filters,results_returned,export_filename,notes
SEARCH_013,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),"""service refusal"" OR ""connection refusal"" municipal water administrative law empirical study",none,none,none,9,SEARCH_009-013_CITATION_GREYLIT_PILOT_2026-08-25.csv,"See SEARCH_003 notes for method/caveats. 3 new candidates (law-journal water-justice/administrative-law pieces, flagged for full-text screening to determine study_design_class since law-review articles can be doctrinal rather than empirical); excluded a state statute, an agency guidance PDF, a law-firm CLE presentation, and an off-topic arXiv paper as primary/non-empirical or irrelevant."
SEARCH_014,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),bureaucratic assistance political coordination water connection formalization field experiment,none,none,none,7,SEARCH_014-017_PLUS_EXEMPLARS_2026-08-25.csv,"See SEARCH_003 notes for method/caveats. 1 new candidate: an earlier working-paper title (""Bureaucratic Hurdles, Political Resistance, and Public Service Access"") appears likely to be a pre-publication version of the Gaikwad & Thomas 2026 AJPS exemplar already in SOURCES.md -- added as its own record per REPRODUCIBILITY.md's duplicate-publication policy (log both, resolve to one study at extraction, do not silently auto-merge on a title match the dedup script can't make since the titles differ). Excluded 3 tangential hits (river-basin planning, an unrelated field experiment on informal entrepreneurs, a general formalization/bureaucracy paper with no water reference) and 1 methods-focused paper (water-governance experiment translatability) as off-topic or lacking a water/sanitation access outcome."
SEARCH_015,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),bestuursrecht drinkwater aansluiting weigering onderzoek huishoudens toegang,none,none,Dutch,7,(none -- 0 new candidates; all hits were primary legal/regulatory sources),"See SEARCH_003 notes for method/caveats. Second Dutch-language query in a row (see SEARCH_006) to surface zero empirical studies -- every hit was a statute, ordinance, official notice, an industry-association explainer, a single court decision, or legal-commentary blog post on that decision. Worth flagging to the researcher as a preliminary (WebSearch-only, not exhaustive) pattern potentially consistent with the dissertation's own pre-litigation-absorption thesis (RESEARCH_CONTEXT.md) -- but this is far too thin an evidentiary base via this method alone to draw that conclusion; a real Rechtspraak.nl/Dutch-database search is still required before saying anything about the Dutch empirical literature."
SEARCH_016,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),SNIS ANA saneamento cobertura acesso irregularidade fundiária estudo empírico municípios,none,none,Portuguese,8,SEARCH_014-017_PLUS_EXEMPLARS_2026-08-25.csv,"See SEARCH_003 notes for method/caveats. 2 new candidates. One (the full tratabrasil.org.br report) appears to be the complete underlying study behind the press-release version already logged as record R0011 (SEARCH_005) -- flagged for the reviewer to treat as the primary source for extraction, with R0011 as its own summary/companion rather than an independent study. Excluded several SNIS/SINISA primary data-portal and methodology pages as administrative data sources rather than studies, and one DOAJ entry with no visible article title as insufficient information (E09)."
SEARCH_017,WebSearch(general),Claude WebSearch tool (not a Tier 1/2 database's native search),2026-08-25,Claude (automated pilot),WHO UNICEF JMP report legal barriers safely managed water sanitation service inequality,none,none,none,8,(none -- 0 candidates added),"See SEARCH_003 notes for method/caveats. The flagship JMP 2025 report and its press coverage are exactly the kind of comparative-inequality background material the dissertation cites for context, but per the search tool's own summary the report does not treat legal/administrative barriers as a distinct topic -- fails inclusion criterion 2 (INCLUSION_EXCLUSION.md) for this review's evidence base specifically. Deliberately not added; a scope-discipline exclusion, not a search failure."
EXEMPLAR_ADD_2026-08-25,SOURCES.md (preliminary source list),N/A -- not a search; direct addition of already-identified sources to the formal screening pipeline,2026-08-25,Claude (automated pilot),N/A,none,none,none,3,SEARCH_014-017_PLUS_EXEMPLARS_2026-08-25.csv,"Gap found while running this round: 3 of the 4 substantive exemplar studies in SOURCES.md (Lubeck-Schricker et al. 2023, Gaikwad & Thomas 2026, Apio/Thiam/Dinar 2025) had been cited as methodological context but never actually entered into 02_screening/title_abstract/screening_database.csv, so they were never subject to the same screening pipeline as everything else. Added them here, with their already-verified DOIs (SOURCES.md), so they go through real screening rather than being informally pre-approved. The 4th exemplar, Halling & Bækgaard 2024, is deliberately NOT added -- it is administrative-burden methodological literature with no water/sanitation content and fails inclusion criterion 1; it remains a SOURCES.md methodological reference only, same as PRISMA/PRISMA-P/SWiM/AMSTAR 2."
SEARCH_018,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- a REAL Tier 1 database search, not a WebSearch-tool pilot)",2026-08-25,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" )",none applied to the query itself,none,none,~5443 (see notes) -- only 500 exported,SEARCH_018_SCOPUS_2026-08-26.csv,"THE PILOT STRING FROM database_strategies/scopus.md, RUN FOR REAL ON SCOPUS FOR THE FIRST TIME. Full result count reconstructed from a separate 'Analyze results by Year' export the researcher also produced (Scopus-200-Analyze-Year.csv, not itself ingested -- it's an aggregate count table, not per-record data): summing its year-by-year breakdown gives approximately 5,443 total matching documents. Only 500 were actually exported as structured metadata (title/authors/year/DOI/journal/link) via code/search/adapters/scopus_adapter.py -- Scopus's bulk-export UI appears to cap a single CSV export well below the full result count, and the researcher did not yet complete the remaining batches (~4,943 records not yet exported). The exported 500 do NOT include abstracts -- the export field-picker apparently needs Abstract selected as an explicit additional option beyond the default citation field set; EXECUTION_CHECKLIST.md flagged this as the single most valuable field to get right, and it was missed this round. Spot-checking the first 15 titles shows the expected mix for a broad, sensitive OR-heavy Boolean: several clearly on-topic (e.g. 'The Thirst for Governance: Challenges in Water and Sanitation Reforms', 'Bridging the Gap in Urban Water Accessibility: Exploring the Barriers to Equity') alongside clear noise (corona-discharge water disinfection hardware, blockchain smart contracts, coastal-ecosystem valuation) that title/abstract screening is meant to filter -- this is expected at this stage, not a sign the string is broken."
SEARCH_021b,Scopus,"Scopus (native Advanced Search, via EUR institutional access)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),PUBYEAR = 2025 AND NOT DOCTYPE(ar OR re) [AND base three-block TITLE-ABS-KEY string from scopus_batch_plan_2026-08-26.md],none beyond PUBYEAR/DOCTYPE,2025 only,none,106,SEARCH_021b_SCOPUS_2026-09-10.csv,"First batch executed from scopus_batch_plan_2026-08-26.md -- the non-article/non-review half of the 2025 split (SEARCH_021a, articles+reviews, not yet run). FIRST EXPORT WITH ABSTRACTS: the field picker included Abstract, Author Keywords, and Index Keywords this time -- real title/abstract screening against INCLUSION_EXCLUSION.md is possible on these 106 records, unlike every record ingested before 2026-09-10. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/. Schema amended project-wide to add an optional `abstract` field to carry this through -- see CHANGELOG.md 2026-09-10."
SEARCH_019,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2027",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),2027,none,2,SEARCH_019_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). Plan estimate was ~1; Scopus showed 2 before export, all 2 exported. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_020a,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2026 AND DOCTYPE(ar OR re)",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),"2026, articles+reviews only",none,556,SEARCH_020a_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). No plan estimate (2026 total was unsplit in the plan). No 500-record ceiling encountered when signed in -- the full 556-record half exported whole, no further DOCTYPE split needed. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_020b,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2026 AND NOT DOCTYPE(ar OR re)",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),"2026, everything else",none,100,SEARCH_020b_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). No plan estimate (2026 total was unsplit in the plan). Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_021a,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2025 AND DOCTYPE(ar OR re)",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),"2025, articles+reviews only",none,477,SEARCH_021a_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). No plan estimate (2025 total was unsplit in the plan). No 500-record ceiling encountered when signed in -- the full 477-record half exported whole, no further DOCTYPE split needed. This is the articles+reviews sibling of SEARCH_021b (already ingested 2026-09-10) and is where more substantive primary research is expected. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_022,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2024",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),2024,none,392,SEARCH_022_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). Plan estimate ~391; Scopus showed 392 before export, matching the exported count almost exactly. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_023,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2023",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),2023,none,337,SEARCH_023_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). Plan estimate ~337, exact match. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_024,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2022",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),2022,none,326,SEARCH_024_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). Plan estimate ~326, exact match. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_025,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2021",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),2021,none,324,SEARCH_025_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). Plan estimate ~324, exact match. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
SEARCH_027,Scopus,"Scopus (native Advanced Search, via EUR institutional access -- EUR proxy www-scopus-com.eur.idm.oclc.org, signed in, Advanced query)",2026-09-10,researcher (via Claude Cowork) + Claude (adapter/ingest),"TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ) AND PUBYEAR = 2019",none beyond PUBYEAR/DOCTYPE clause in the query itself (no sidebar filters),2019,none,254,SEARCH_027_SCOPUS_2026-09-10.csv,"Batch from scopus_batch_plan_2026-08-26.md, executed 2026-09-10 per the researcher's own run log (scopus_batch_run_log_20260910.csv). Plan estimate ~254, exact match. Field picker included Abstract, Author Keywords, and Index Keywords (same as SEARCH_021b) -- real title/abstract screening is possible on this batch. Native raw file (22 original Scopus columns) preserved in 01_search/raw_exports/native/; normalized via code/search/adapters/scopus_adapter.py."
