dropped_record_id,kept_record_id,match_rule,dropped_title,kept_title
RCC860FBC7DD0,RCC860FBC7DD0,doi_match+abstract_backfilled,The felt experience of energy insecurity: Revealing an affective continuum based on sentiment analysis among New York City residents,The felt experience of energy insecurity: Revealing an affective continuum based on sentiment analysis among New York City residents
R4DC68FE0F0DC,R4DC68FE0F0DC,doi_match+abstract_backfilled,Leveraging Artificial Intelligence for Comprehensive Analysis of Community and Rural Aqueduct Systems,Leveraging Artificial Intelligence for Comprehensive Analysis of Community and Rural Aqueduct Systems
REC23C6082BE6,REC23C6082BE6,doi_match+abstract_backfilled,Predicting the shear strength of rubber-incorporated granular waste mixtures with a machine learning approach,Predicting the shear strength of rubber-incorporated granular waste mixtures with a machine learning approach
R10DCAEC3F748,R10DCAEC3F748,doi_match+abstract_backfilled,Governing a Wildlife-Based Regional Economy: A Prospective Policy Analysis of Swiftlet’s Nest Trade in Indonesia Supporting SDGs 6 and 9,Governing a Wildlife-Based Regional Economy: A Prospective Policy Analysis of Swiftlet’s Nest Trade in Indonesia Supporting SDGs 6 and 9
R01DD71C837EA,R01DD71C837EA,doi_match+abstract_backfilled,Techno-Economic Household-Scale Solar Power Plants in Support of The Policy of Presidential Regulation Number 112 of 2022 Concerning the Acceleration of Renewable Energy Development,Techno-Economic Household-Scale Solar Power Plants in Support of The Policy of Presidential Regulation Number 112 of 2022 Concerning the Acceleration of Renewable Energy Development
R103C2A0F907F,R103C2A0F907F,doi_match+abstract_backfilled,"Flows against the current: governance and politics of wastewater reuse in Valle Alto, Bolivia","Flows against the current: governance and politics of wastewater reuse in Valle Alto, Bolivia"
RFC4E511027D2,RFC4E511027D2,doi_match+abstract_backfilled,Sampling techniques for extended soil microbiological studies: a review and a proposal for unified guidelines,Sampling techniques for extended soil microbiological studies: a review and a proposal for unified guidelines
RCF442816DF23,RCF442816DF23,doi_match+abstract_backfilled,Optimal Operation Strategy for Island Multi-Energy Microgrids Considering the Water-Energy Nexus of Wastewater Treatment and Desalination,Optimal Operation Strategy for Island Multi-Energy Microgrids Considering the Water-Energy Nexus of Wastewater Treatment and Desalination
RA8CE3571F745,RA8CE3571F745,doi_match+abstract_backfilled,Sustainable Membrane Technologies for Enhancing Urban Climate Resilience,Sustainable Membrane Technologies for Enhancing Urban Climate Resilience
R15EF22174A64,R15EF22174A64,doi_match+abstract_backfilled,Financial insecurity among sanitation workers and its impacts on safe service reliability: a case study of the Arusha depot manual emptying group,Financial insecurity among sanitation workers and its impacts on safe service reliability: a case study of the Arusha depot manual emptying group
R8C97FC532AC2,R8C97FC532AC2,doi_match+abstract_backfilled,Adoption of food safety measures in smallholder dairy farms in Kenya: Implications for milk safety and public health,Adoption of food safety measures in smallholder dairy farms in Kenya: Implications for milk safety and public health
R0E4C0CE0DA80,R0E4C0CE0DA80,doi_match+abstract_backfilled,"Groundwater-based water services as complex socio-hydrogeological systems: insights from Vietnam’s Mekong Delta; [作为复杂社会—水文地质系统的地下水型供水服务：来自越南湄公河三角洲的启示]; [Services d’eau fondés sur les eaux souterraines en tant que systèmes socio-hydrologiques complexes: enseignements tirés du delta du Mékong au Vietnam]; [Serviços de água baseados em águas subterrâneas como sistemas socio-hidrogeológicos complexos: Percepções do Delta do Mekong, no Vietnã]; [Servicios de agua basados en aguas subterráneas como sistemas socio-hidrogeológicos complejos: perspectivas del delta del Mekong en Vietnam]; [Các dịch vụ cấp nước dựa vào nước ngầm như những hệ thống địa chất thủy văn - xã hội phức tạp: Góc nhìn từ Đồng bằng sông Cửu Long, Việt Nam]","Groundwater-based water services as complex socio-hydrogeological systems: insights from Vietnam’s Mekong Delta; [作为复杂社会—水文地质系统的地下水型供水服务：来自越南湄公河三角洲的启示]; [Services d’eau fondés sur les eaux souterraines en tant que systèmes socio-hydrologiques complexes: enseignements tirés du delta du Mékong au Vietnam]; [Serviços de água baseados em águas subterrâneas como sistemas socio-hidrogeológicos complexos: Percepções do Delta do Mekong, no Vietnã]; [Servicios de agua basados en aguas subterráneas como sistemas socio-hidrogeológicos complejos: perspectivas del delta del Mekong en Vietnam]; [Các dịch vụ cấp nước dựa vào nước ngầm như những hệ thống địa chất thủy văn - xã hội phức tạp: Góc nhìn từ Đồng bằng sông Cửu Long, Việt Nam]"
R7E7395199865,R7E7395199865,doi_match+abstract_backfilled,Assessing the Targeting Efficiency of Clean Water Subsidies Under Uncertainty,Assessing the Targeting Efficiency of Clean Water Subsidies Under Uncertainty
R96730AA0B95E,R96730AA0B95E,doi_match+abstract_backfilled,Political Ecology and Social Production of Drinking Water Scarcity in India's Contaminated Landscapes,Political Ecology and Social Production of Drinking Water Scarcity in India's Contaminated Landscapes
RF658E0A799E3,RF658E0A799E3,doi_match+abstract_backfilled,Expert group decision-making on ESG strategies for water public sanitation utilities under fiscal and budgetary constraints in Brazil,Expert group decision-making on ESG strategies for water public sanitation utilities under fiscal and budgetary constraints in Brazil
R1E269FAEA4F4,R1E269FAEA4F4,doi_match+abstract_backfilled,Surface engineering of stainless-steel mesh with superwettability toward efficient water treatment through electroflotation,Surface engineering of stainless-steel mesh with superwettability toward efficient water treatment through electroflotation
R76B3ED6E3382,R76B3ED6E3382,doi_match+abstract_backfilled,Barriers to health care access for sanitation workers in five municipalities of Bangladesh: an evaluation of Shasthya Nirapotta Scheme using multinomial logistic regression approach,Barriers to health care access for sanitation workers in five municipalities of Bangladesh: an evaluation of Shasthya Nirapotta Scheme using multinomial logistic regression approach
R1B34F60D5F79,R1B34F60D5F79,doi_match+abstract_backfilled,"Assessing urban water security in Awash River Basin, Addis Ababa, and its surrounding towns using Integrated Urban Water S ecurity Index","Assessing urban water security in Awash River Basin, Addis Ababa, and its surrounding towns using Integrated Urban Water S ecurity Index"
R0806C5E6D586,R0806C5E6D586,doi_match+abstract_backfilled,"Management of water, sanitation and hygiene facilities in basic schools within the Mfantseman Municipality, Ghana","Management of water, sanitation and hygiene facilities in basic schools within the Mfantseman Municipality, Ghana"
R131093AB24CB,R131093AB24CB,doi_match+abstract_backfilled,Gender equity and menstrual justice: a psychosocial review on stigma and discrimination in access to reproductive health,Gender equity and menstrual justice: a psychosocial review on stigma and discrimination in access to reproductive health
RFAC5C025C756,RFAC5C025C756,doi_match+abstract_backfilled,Climate-Driven Water Scarcity and Its Public Health Implications: A Multi-Regional Assessment Across Vulnerable Socio-Ecological Systems,Climate-Driven Water Scarcity and Its Public Health Implications: A Multi-Regional Assessment Across Vulnerable Socio-Ecological Systems
R53A6FDF3E363,R53A6FDF3E363,doi_match+abstract_backfilled,A driver-pressure-state-impact-response and system dynamics framework for climate change adaptation in vulnerable wetlands,A driver-pressure-state-impact-response and system dynamics framework for climate change adaptation in vulnerable wetlands
R3E3041A3D444,R3E3041A3D444,doi_match+abstract_backfilled,Household Water Insecurity Severity Across Urban Areas with Varying Aridity Levels in Sub-Saharan Africa: Examples from Namibia,Household Water Insecurity Severity Across Urban Areas with Varying Aridity Levels in Sub-Saharan Africa: Examples from Namibia
RE6A2DD28A55C,RE6A2DD28A55C,doi_match+abstract_backfilled,"Improving payment for essential services – A field experiment in Nairobi, Kenya","Improving payment for essential services – A field experiment in Nairobi, Kenya"
R0C01FB67B2A1,R0C01FB67B2A1,doi_match+abstract_backfilled,Refolding-assisted purification of native full-length TDP-43 compatible with BSL-2 safety regulations,Refolding-assisted purification of native full-length TDP-43 compatible with BSL-2 safety regulations
R26FAF7E62714,R26FAF7E62714,doi_match+abstract_backfilled,MULTI-CRITERIA PRIORITIZATION OF DOMESTIC WASTEWATER MITIGATION STRATEGIES IN URBAN RIVER SYSTEMS: AN AHP-BASED ENVIRONMENTAL SANITATION ASSESSMENT,MULTI-CRITERIA PRIORITIZATION OF DOMESTIC WASTEWATER MITIGATION STRATEGIES IN URBAN RIVER SYSTEMS: AN AHP-BASED ENVIRONMENTAL SANITATION ASSESSMENT
RA05D3AF00122,RA05D3AF00122,doi_match+abstract_backfilled,Tehran’s Water Scarcity Dilemma: Insights from a 150-Year Adaptive Cycle Assessment,Tehran’s Water Scarcity Dilemma: Insights from a 150-Year Adaptive Cycle Assessment
R2395BBEECBDA,R2395BBEECBDA,doi_match+abstract_backfilled,"Issues of Bounded Geographies and Participatory Governance in Accessing Water in Informal Settlements: A Case of Khulna City, Bangladesh","Issues of Bounded Geographies and Participatory Governance in Accessing Water in Informal Settlements: A Case of Khulna City, Bangladesh"
RA3FA3B4AF956,RA3FA3B4AF956,doi_match+abstract_backfilled,Health Inequalities Between Afro-descendants and Non-Afro-descendants in Peru: Evidence from the Demographic and Family Health Survey,Health Inequalities Between Afro-descendants and Non-Afro-descendants in Peru: Evidence from the Demographic and Family Health Survey
RC1C8A9094225,RC1C8A9094225,doi_match+abstract_backfilled,Public Satisfaction Towards Smart City Facilities in Coimbatore City,Public Satisfaction Towards Smart City Facilities in Coimbatore City
R72484640CE59,R72484640CE59,doi_match+abstract_backfilled,"Predictors of community empowerment against dengue in Córdoba, Colombia","Predictors of community empowerment against dengue in Córdoba, Colombia"
R61B0458ADB42,R61B0458ADB42,doi_match+abstract_backfilled,"Relationship between freshwater scarcity, rural livelihoods and coping strategies in Jirapa Municipality, Ghana","Relationship between freshwater scarcity, rural livelihoods and coping strategies in Jirapa Municipality, Ghana"
R05A82A08F0A4,R05A82A08F0A4,doi_match+abstract_backfilled,Spatiotemporal synergy of rooftop rainwater harvesting: Dual benefits in flood mitigation and multi-purpose supply under climate change,Spatiotemporal synergy of rooftop rainwater harvesting: Dual benefits in flood mitigation and multi-purpose supply under climate change
R60B5639F35EC,R60B5639F35EC,doi_match+abstract_backfilled,"Global Water Scarcity: Understanding Challenges, Causes, and Mitigation Measures","Global Water Scarcity: Understanding Challenges, Causes, and Mitigation Measures"
RA2C15A972BC7,RA2C15A972BC7,doi_match+abstract_backfilled,Mapping policies and evidence addressing childhood malnutrition in India: A global scoping review of systematic reviews and India policy gap map,Mapping policies and evidence addressing childhood malnutrition in India: A global scoping review of systematic reviews and India policy gap map
R3A2D02001573,R3A2D02001573,doi_match+abstract_backfilled,Effectiveness and Spatial Distribution of Wastewater Land Application Technical Approval in East Java,Effectiveness and Spatial Distribution of Wastewater Land Application Technical Approval in East Java
R441952AE11D2,R441952AE11D2,doi_match+abstract_backfilled,"Co-Creating an Intersectional Water Justice Toolkit and Documentary in Cape Town, South Africa","Co-Creating an Intersectional Water Justice Toolkit and Documentary in Cape Town, South Africa"
R604E73D5AF27,R604E73D5AF27,doi_match+abstract_backfilled,Strengthening the Structure of Public Health: Suggesting the Incorporation of ‘People’ Component as the ‘Seventh Block’,Strengthening the Structure of Public Health: Suggesting the Incorporation of ‘People’ Component as the ‘Seventh Block’
R50C907E99BA5,R50C907E99BA5,doi_match+abstract_backfilled,Effectiveness of emergency WASH strategies in disaster-prone areas of Africa: a systematic review,Effectiveness of emergency WASH strategies in disaster-prone areas of Africa: a systematic review
R4714179F16C5,R4714179F16C5,doi_match+abstract_backfilled,REVITALIZATION STRATEGIES FOR THE TRADITIONAL FISH PROCESSING INDUSTRY IN PUGER: A VALUE CHAIN APPROACH TO STRENGTHENING COASTAL ECONOMIC RESILIENCE,REVITALIZATION STRATEGIES FOR THE TRADITIONAL FISH PROCESSING INDUSTRY IN PUGER: A VALUE CHAIN APPROACH TO STRENGTHENING COASTAL ECONOMIC RESILIENCE
RDE592D874BF6,RDE592D874BF6,doi_match+abstract_backfilled,"Barriers to Effective Water Resource Management in Foumbot, Cameroon: Infrastructure, Policy, and Community Engagement","Barriers to Effective Water Resource Management in Foumbot, Cameroon: Infrastructure, Policy, and Community Engagement"
R6AC5A5B9248F,R6AC5A5B9248F,doi_match+abstract_backfilled,Influence of customer satisfaction and perceived water service quality on urban water supply management: A systematic review,Influence of customer satisfaction and perceived water service quality on urban water supply management: A systematic review
RA568151DBC58,RA568151DBC58,doi_match+abstract_backfilled,Reconciling heritage and modern water infrastructures: design challenges from the Indian Himalayan Region,Reconciling heritage and modern water infrastructures: design challenges from the Indian Himalayan Region
R0063378D97F8,R0063378D97F8,doi_match+abstract_backfilled,Urban Green Space and Social Inclusion: Focused on Public Park’s Contribution to Elderly Population,Urban Green Space and Social Inclusion: Focused on Public Park’s Contribution to Elderly Population
RB4E30ECD12CE,RB4E30ECD12CE,doi_match+abstract_backfilled,Water governance matters: Self-supplied versus collective irrigation services and their impact on technical efficiency and production in olive oil farming,Water governance matters: Self-supplied versus collective irrigation services and their impact on technical efficiency and production in olive oil farming
R8E60243E7B0B,R8E60243E7B0B,doi_match+abstract_backfilled,Process engineering and techno-economic evaluation of integrated hybrid treatment systems for mining wastewater reuse in arid and semi-arid regions,Process engineering and techno-economic evaluation of integrated hybrid treatment systems for mining wastewater reuse in arid and semi-arid regions
RD844EFE1BD8E,RD844EFE1BD8E,doi_match+abstract_backfilled,Sustainability beyond the bean: A social life cycle perspective on a green coffee production facility in Colombia,Sustainability beyond the bean: A social life cycle perspective on a green coffee production facility in Colombia
RA449B34EFE3E,RA449B34EFE3E,doi_match+abstract_backfilled,"Advanced Adsorbent for Sustainable Wastewater Treatment: A Review of Nanomaterials, Metal–Organic Frameworks, Zeolites, and Biochar Systems","Advanced Adsorbent for Sustainable Wastewater Treatment: A Review of Nanomaterials, Metal–Organic Frameworks, Zeolites, and Biochar Systems"
R7BC94CCE3379,R7BC94CCE3379,doi_match+abstract_backfilled,Postharvest processing efficiency and value addition in arabica coffee production in West Java Indonesia,Postharvest processing efficiency and value addition in arabica coffee production in West Java Indonesia
R1AD3F9B7DE36,R1AD3F9B7DE36,doi_match+abstract_backfilled,The effect of post-success handwashing on insight problem solving,The effect of post-success handwashing on insight problem solving
R8A0F64980998,R8A0F64980998,doi_match+abstract_backfilled,"Environmental stress, water inequality, and environmental justice in Palestinian urban areas: a GIS-based assessment of sanitation and infrastructure disparities in the southern West Bank","Environmental stress, water inequality, and environmental justice in Palestinian urban areas: a GIS-based assessment of sanitation and infrastructure disparities in the southern West Bank"
R83353774624E,R83353774624E,doi_match+abstract_backfilled,Exploring the Interplay Between Water Source Choices and Perceptions of Hydrological Disaster Risks: Insights from Semarang’s Coastal Communities,Exploring the Interplay Between Water Source Choices and Perceptions of Hydrological Disaster Risks: Insights from Semarang’s Coastal Communities
R4BBBD030011B,R4BBBD030011B,doi_match+abstract_backfilled,Water for All: A Strategic Assessment of Drinking Water Management at Cox's Bazar of Bangladesh in the Light of SDGs,Water for All: A Strategic Assessment of Drinking Water Management at Cox's Bazar of Bangladesh in the Light of SDGs
R10319DD45201,R38BF0F168948,title_year_match+abstract_backfilled,"Characteristics of Settlement on Water in Tobati Village, Papua: Challenges and Sustainability Strategies","Characteristics of Settlement on Water in Tobati Village, Papua: Challenges and Sustainability Strategies"
RD5F4C87F3A7F,RD5F4C87F3A7F,doi_match+abstract_backfilled,Water Supply Megaproject in a Developing Nation: Lessons in Stakeholder Dynamics and Postcompletion Resilience from Prolonged Delays,Water Supply Megaproject in a Developing Nation: Lessons in Stakeholder Dynamics and Postcompletion Resilience from Prolonged Delays
RDAD1AD310708,RDAD1AD310708,doi_match+abstract_backfilled,Women as teammates: Gender composition of village councils and policy outcomes in India,Women as teammates: Gender composition of village councils and policy outcomes in India
R212E5E9E84E5,R212E5E9E84E5,doi_match+abstract_backfilled,Review of methodologies to assess and evaluate the climate resilience of rural community-managed drinking-water supply systems in low-income contexts,Review of methodologies to assess and evaluate the climate resilience of rural community-managed drinking-water supply systems in low-income contexts
R276B6A86C010,R276B6A86C010,doi_match+abstract_backfilled,"Evaluation of Sustainable Water, Sanitation and Hygiene Systems in Primary Schools in the eThekwini District of South Africa","Evaluation of Sustainable Water, Sanitation and Hygiene Systems in Primary Schools in the eThekwini District of South Africa"
R31C57D742BD0,R31C57D742BD0,doi_match+abstract_backfilled,Wastewater treatment technologies and digital integration: A review of pathways toward circularity and sustainability,Wastewater treatment technologies and digital integration: A review of pathways toward circularity and sustainability
R2D132FD6EF37,R2D132FD6EF37,doi_match+abstract_backfilled,Wetland socio-ecological systems: Diversifying livelihoods and building capacity to learn increases resilience in India,Wetland socio-ecological systems: Diversifying livelihoods and building capacity to learn increases resilience in India
R5BBF84B2ECE9,R5BBF84B2ECE9,doi_match+abstract_backfilled,Predictors of healthcare seeking for tuberculosis symptoms in the private healthcare facilities: findings from a cross-sectional population-based survey in Tamil Nadu,Predictors of healthcare seeking for tuberculosis symptoms in the private healthcare facilities: findings from a cross-sectional population-based survey in Tamil Nadu
R819F9D5C3821,R819F9D5C3821,doi_match+abstract_backfilled,Household Perspectives on Urban Water Service Delivery: Implications for Policy and Practice in the Philippines,Household Perspectives on Urban Water Service Delivery: Implications for Policy and Practice in the Philippines
R004673C197B1,R004673C197B1,doi_match+abstract_backfilled,"Water supply and infrastructure challenges in rural low-Income arid and semi-arid lands (ASALs): A case study of Turkana, Kenya","Water supply and infrastructure challenges in rural low-Income arid and semi-arid lands (ASALs): A case study of Turkana, Kenya"
R6B4F2B51A205,R6B4F2B51A205,doi_match+abstract_backfilled,Assessing water security and governance complexity in the Owabi river catchment in Ghana,Assessing water security and governance complexity in the Owabi river catchment in Ghana
R674A03D36636,R674A03D36636,doi_match+abstract_backfilled,"From Rural Periphery to Peripheral Centralities: Rural Gentrification and Second Homes in San José de Quichinche, Ecuador; [Da periferia rural às centralidades periféricas: gentrificação rural e segundas residências em San José de Quichinche – Equador]; [De periferia rural a centralidades periféricas: gentrificación rural y segundas residencias en San José de Quichinche, Ecuador]","From Rural Periphery to Peripheral Centralities: Rural Gentrification and Second Homes in San José de Quichinche, Ecuador; [Da periferia rural às centralidades periféricas: gentrificação rural e segundas residências em San José de Quichinche – Equador]; [De periferia rural a centralidades periféricas: gentrificación rural y segundas residencias en San José de Quichinche, Ecuador]"
R85534933BB87,R85534933BB87,doi_match+abstract_backfilled,"Green dreams and toxic realities: Exploring the environmental health risks and coping strategies of women in mining settlements in Obuasi, Ghana","Green dreams and toxic realities: Exploring the environmental health risks and coping strategies of women in mining settlements in Obuasi, Ghana"
R4D69DBB5CA9A,R4D69DBB5CA9A,doi_match+abstract_backfilled,Developing a management model for the implementation of underground dams using the Strauss and Corbin approach; [تدوین الگوی مدیریت اجرای سدهای زیرزمی ن ی با استفاده از رویکرد اشتراوس و کوربین],Developing a management model for the implementation of underground dams using the Strauss and Corbin approach; [تدوین الگوی مدیریت اجرای سدهای زیرزمی ن ی با استفاده از رویکرد اشتراوس و کوربین]
R26FD0045CAAA,R26FD0045CAAA,doi_match+abstract_backfilled,Exploring the role of institutional governance in enhancing sustainability performance of health and sanitation projects in Uganda: a qualitative inquiry,Exploring the role of institutional governance in enhancing sustainability performance of health and sanitation projects in Uganda: a qualitative inquiry
R7DF861E5DE42,R7DF861E5DE42,doi_match+abstract_backfilled,"Identification of groundwater potential zones in Agago district, northern Uganda using GIS-based multicriteria decision analysis","Identification of groundwater potential zones in Agago district, northern Uganda using GIS-based multicriteria decision analysis"
R200BDD5BF36E,R200BDD5BF36E,doi_match+abstract_backfilled,"An innovative hesitant fuzzy and traditional-ecological approach to water quality assessment and sustainable management of the Gomati River (the largest river in Tripura, India)","An innovative hesitant fuzzy and traditional-ecological approach to water quality assessment and sustainable management of the Gomati River (the largest river in Tripura, India)"
RD53EF642C7B9,RD53EF642C7B9,doi_match+abstract_backfilled,"Towards Safe and Equitable Water Access in Karst Landscapes: Lessons from a Community Water System in Bantimurung Bulusaraung National Park, Indonesia","Towards Safe and Equitable Water Access in Karst Landscapes: Lessons from a Community Water System in Bantimurung Bulusaraung National Park, Indonesia"
RC0FF0932D727,RC0FF0932D727,doi_match+abstract_backfilled,"Priority Strategy for Managing Water Settlement Using Eco-Settlement: SWOT-AHP Approach in Tobati Village, Jayapura, Indonesia","Priority Strategy for Managing Water Settlement Using Eco-Settlement: SWOT-AHP Approach in Tobati Village, Jayapura, Indonesia"
RBC0BE29043B2,RBC0BE29043B2,doi_match+abstract_backfilled,"Displacement, infrastructure deficits and public health risks in post-conflict Marawi during the COVID-19 pandemic","Displacement, infrastructure deficits and public health risks in post-conflict Marawi during the COVID-19 pandemic"
RCDF9708E56F3,RCDF9708E56F3,doi_match+abstract_backfilled,Challenges faced by older adults in Namibia and strategies to improve their health and well-being,Challenges faced by older adults in Namibia and strategies to improve their health and well-being
R6EF07413317D,R6EF07413317D,doi_match+abstract_backfilled,Enhancing Agricultural Water System Resilience Under Climate Change: A Socio-Ecological Framework and Future Pathways,Enhancing Agricultural Water System Resilience Under Climate Change: A Socio-Ecological Framework and Future Pathways
REF8077560E98,REF8077560E98,doi_match+abstract_backfilled,Multi-Source Joint Water Allocation and Route Interconnection Under Low-Flow Conditions: An IMWA-IRRS Framework for the Yellow River Water Supply Region Within Water Network Layout,Multi-Source Joint Water Allocation and Route Interconnection Under Low-Flow Conditions: An IMWA-IRRS Framework for the Yellow River Water Supply Region Within Water Network Layout
RABBD1D80A46A,RABBD1D80A46A,doi_match+abstract_backfilled,Cost Optimization Using Several Transportation Model Solution Methods for Water Distribution in the PDAM Wae Manurung Bone Regency,Cost Optimization Using Several Transportation Model Solution Methods for Water Distribution in the PDAM Wae Manurung Bone Regency
RD2D8161AA722,RD2D8161AA722,doi_match+abstract_backfilled,"Assessment of residential solid waste management practices along Lake Volta, Ghana","Assessment of residential solid waste management practices along Lake Volta, Ghana"
R6E1035471AC3,R6E1035471AC3,doi_match+abstract_backfilled,Training under planetary risk: planetary health ethics in clinical education and governance,Training under planetary risk: planetary health ethics in clinical education and governance
R68BDCC71DE3C,R68BDCC71DE3C,doi_match+abstract_backfilled,Effect of salt modification on the performance of layer-by-layer NF membranes for pharmaceuticals removal,Effect of salt modification on the performance of layer-by-layer NF membranes for pharmaceuticals removal
R7BF56CC1DBB8,R7BF56CC1DBB8,doi_match+abstract_backfilled,A Fuzzy-Set Qualitative Comparative Analysis of Potable Water Reuse Implementation Pathways,A Fuzzy-Set Qualitative Comparative Analysis of Potable Water Reuse Implementation Pathways
R03332ED096BD,R03332ED096BD,doi_match+abstract_backfilled,Resilience and risk perception in water scarcity: an analysis from Bourdieu's theory,Resilience and risk perception in water scarcity: an analysis from Bourdieu's theory
R567DAF227DB7,R567DAF227DB7,doi_match+abstract_backfilled,Strategy formulation for accelerating safe sanitation improvement in Lamongan,Strategy formulation for accelerating safe sanitation improvement in Lamongan
R24E6C749E5D4,R24E6C749E5D4,doi_match+abstract_backfilled,"Reimagining water governance through feminist perspectives: Women’s everyday experiences in the Toltén Hydrosocial Territory, Southern Chile","Reimagining water governance through feminist perspectives: Women’s everyday experiences in the Toltén Hydrosocial Territory, Southern Chile"
R065923F09AD9,R065923F09AD9,doi_match+abstract_backfilled,Toxic waters and broken promises: The struggle for health equity in informal settlements,Toxic waters and broken promises: The struggle for health equity in informal settlements
RFDDA47F19D8F,RFDDA47F19D8F,doi_match+abstract_backfilled,"Stakeholder priorities for sustaining operations and maintenance of school sanitation facilities in Kampala City, Uganda","Stakeholder priorities for sustaining operations and maintenance of school sanitation facilities in Kampala City, Uganda"
R157D7AF18CE9,R157D7AF18CE9,doi_match+abstract_backfilled,Access to safe sanitation services and factors associated with personal protective equipment utilisation among sanitation workers in Ethiopia: a mixed-methods study,Access to safe sanitation services and factors associated with personal protective equipment utilisation among sanitation workers in Ethiopia: a mixed-methods study
RC8F30C26E10C,RC8F30C26E10C,doi_match+abstract_backfilled,Simulation of oxytactic microbes in hybrid nanofluid with activation energy and LTNE effects using Bayesian regularization neural network technique,Simulation of oxytactic microbes in hybrid nanofluid with activation energy and LTNE effects using Bayesian regularization neural network technique
RFA6952EDCAD9,RFA6952EDCAD9,doi_match+abstract_backfilled,"From the Paramos to the City: Environmental History, Water Sources, and More-Than-Human Governance for the City of Quito, Ecuador; [Dos páramos à cidade: história ambiental, fontes de água e governança mais que humana para a cidade de Quito, Equador]; [De los páramos a la urbe: historia ambiental, fuentes de agua y gobernanza más que humana para la ciudad de Quito, Ecuador]","From the Paramos to the City: Environmental History, Water Sources, and More-Than-Human Governance for the City of Quito, Ecuador; [Dos páramos à cidade: história ambiental, fontes de água e governança mais que humana para a cidade de Quito, Equador]; [De los páramos a la urbe: historia ambiental, fuentes de agua y gobernanza más que humana para la ciudad de Quito, Ecuador]"
